camis,dba,boro,street,zipcode,cuisine_description
40681411,JOE'S SHANGHAI RESTAURANT,MANHATTAN,WEST   56 STREET,10019,Chinese
50075526,BOULEVARD HERO DELI & GRILL,QUEENS,GUY R BREWER BLVD,11434,American
50061393,PANINO RUSTICO II,BROOKLYN,AVENUE N,11234,Italian
50001976,TROPICAL ISLE CARRIBEAN RESTAURANT,QUEENS,LIBERTY AVENUE,11419,Caribbean
41599283,EAST DRAGON,QUEENS,57 AVENUE,11368,Chinese
50011746,Aperture,BROOKLYN,COURT ST,11231,Italian
41479967,BAB ALHARA,BROOKLYN,86 STREET,11209,Mediterranean
40936004,MOM'S BAKERY,BRONX,GRAND CONCOURSE,10468,Bakery
50014519,PAPA JOHN'S,BRONX,E 204TH ST,10467,Pizza
41683337,AVLEE GREEK KITCHEN,BROOKLYN,SMITH STREET,11231,Greek
50063930,BARRA BRAVA,BROOKLYN,BUSHWICK AVE,11206,Tapas
50013048,THE HAROLD,MANHATTAN,BROADWAY,10001,American
50064167,PIATTO D'ORO,MANHATTAN,E 109TH ST,10029,Italian
50000125,WOODHAVEN MANOR CATERS AND BANQUET,QUEENS,JAMAICA AVE,11421,American
40654328,CAFE AL MERCATO,BRONX,HUGHES AVENUE,10458,Italian
41086217,MIKES OLYMPIC GRILL,STATEN ISLAND,FOREST AVENUE,10302,American
50017098,ZUMA NEW YORK,MANHATTAN,MADISON AVE,10016,Japanese
50064665,FARMSTAND BOOTH 8,MANHATTAN,PARK AVE,10169,Salads
50084540,BOMBAY CHOWK,MANHATTAN,1ST AVE,10021,Indian
50067418,CAFE METRO,MANHATTAN,W 56TH ST,10019,Sandwiches/Salads/Mixed Buffet
50006377,LOS TAQUITOS DEL TIO,QUEENS,JUNCTION BLVD,11369,Spanish
50004168,MCDONALD'S,QUEENS,31ST ST,11106,Hamburgers
40855992,FAMOUS BAGEL BUFFET,MANHATTAN,6 AVENUE,10011,American
50009411,DELICIAS CANELAS #4,QUEENS,SUTPHIN BLVD,11435,Bakery
41127492,ECUA VILLA COFFEE SHOP,BRONX,EAST  170 STREET,10456,Caf̩/Coffee/Tea
50046578,333 LOUNGE,BROOKLYN,FLATBUSH AVE,11217,Caribbean
40995563,LEGEND COOKHOUSE,QUEENS,ROCKAWAY BOULEVARD,11420,Caribbean
50059682,HIGH BAR,MANHATTAN,W 40TH ST,10018,American
50038858,G-KNOWS CHEESESTEAKS,STATEN ISLAND,FOREST AVE,10302,American
50047636,TAQUERIA SANTA FE,BROOKLYN,STANHOPE ST,11237,Mexican
50034176,PRET A MANGER,MANHATTAN,PENN PLZ,10119,Sandwiches/Salads/Mixed Buffet
41429540,GROUND SUPPORT CAFE,MANHATTAN,WEST BROADWAY,10012,American
41367337,SUBWAY,BRONX,BRUCKNER BOULEVARD,10473,Sandwiches
50008635,MANGANARO'S HERO BOY,MANHATTAN,9TH AVE,10018,Italian
50012223,PIZZA STUDIO,BRONX,E FORDHAM RD,10458,Pizza
50055765,DREAM POCHA,QUEENS,NORTHERN BLVD,11358,Korean
50005331,Vivid Cabaret,MANHATTAN,W 37TH ST,10018,American
41241694,EL NUEVO AMANECER RESTAURANT,MANHATTAN,BROADWAY,10031,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41627217,ANJAPPAR,MANHATTAN,LEXINGTON AVENUE,10016,Indian
41575384,LITTLE ITALY PIZZA,MANHATTAN,BROADWAY,10023,Pizza
41615409,HOT KITCHEN,MANHATTAN,2 AVENUE,10003,Chinese
50013399,JULIA'S BEER AND WINE BAR,QUEENS,WOODWARD AVE,11385,American
41464606,LINDA'S RESTAURANT BAKERY & LOUNGE,BROOKLYN,CHURCH AVENUE,11203,Caribbean
50075440,BRASSERIE TOAST CAFE,MANHATTAN,AVENUE OF THE AMERICAS,10018,American
40424765,FRANCO BAKERY,BRONX,EAST  138 STREET,10454,Bakery
50063599,CUAUTLA MORELOS RESTAURANT,STATEN ISLAND,PORT RICHMOND AVE,10302,Mexican
40402187,VILLA BARONE,BRONX,WESTCHESTER AVENUE,10461,Italian
50041493,THAI MAX,BRONX,BAYCHESTER AVE,10475,Thai
41572590,THE MEATBALL SHOP,BROOKLYN,BEDFORD AVENUE,11249,American
50054404,EL NUEVO JOBO RESTAURANT & BAR,MANHATTAN,BROADWAY,10032,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
40862111,LIL FRANKIE'S PIZZA,MANHATTAN,1 AVENUE,10003,Italian
40385767,ACADEMY RESTAURAUNT,BROOKLYN,LAFAYETTE AVENUE,11217,American
41639470,SERAFINA,MANHATTAN,9 AVENUE,10014,Italian
41681923,MIST HARLEM,MANHATTAN,WEST  116 STREET,10026,American
50035092,CHIPOTLE MEXICAN GRILL,BRONX,W 237TH ST,10463,Mexican
50037614,THE DAISY,MANHATTAN,2ND AVE,10028,American
40742988,DOMINO'S,BROOKLYN,PENNSYLVANIA AVENUE,11207,Pizza
50048509,TRADEMARK,MANHATTAN,W 36TH ST,10018,American
41546871,GOODFELLA'S,STATEN ISLAND,VICTORY BOULEVARD,10314,Italian
50087233,,BRONX,3RD AVE,10455,Other
41553479,XO RESTAURANT,MANHATTAN,HESTER STREET,10013,Chinese
40676801,IGUANA RESTAURANT,MANHATTAN,WEST   54 STREET,10019,Mexican
50000039,INTELLIGENTSIA COFFEE,MANHATTAN,10 AVENUE,10011,Caf̩/Coffee/Tea
50066126,SALT BRICK TAVERN,BROOKLYN,TILLARY ST,11201,American
50011542,FLAMING KITCHEN,MANHATTAN,BOWERY,10002,Chinese
50047964,DONUT CONNECTIONS,BROOKLYN,MERMAID AVE,11224,Donuts
50075668,NEW ASIA,MANHATTAN,AMSTERDAM AVE,10025,Chinese
50073933,LHASALINGFEN,QUEENS,BROADWAY,11373,Asian
50073403,EL TEQUILAZO RESTAURANT & BAR,QUEENS,HILLSIDE AVE,11432,Mexican
50038347,MAMI'S COFFEE SHOP ADOLFO,BRONX,GARRISON AVE,10474,Spanish
50067635,CAFFEINE UNDERGROUND,BROOKLYN,CENTRAL AVE,11221,Caf̩/Coffee/Tea
50003456,LUNA,MANHATTAN,W 29TH ST,10001,Caf̩/Coffee/Tea
50035660,ROCCOS,MANHATTAN,7TH AVE,10011,Pizza
50051951,LA ROSA GRILL,STATEN ISLAND,RICHMOND VALLEY RD,10309,Chicken
50000606,VEKSLERS,BROOKLYN,HICKS STREET,11231,American
40535512,KUM GANG SAN,QUEENS,NORTHERN BOULEVARD,11354,Korean
50084563,MOHARANI,BROOKLYN,NORMAN AVE,11222,Indian
41393176,SUBWAY,BROOKLYN,NEWKIRK PLAZA,11226,American
50043384,BURGER KING,BRONX,WESTCHESTER AVE,10472,Hamburgers
50052280,DUMPLING MAN,MANHATTAN,SAINT MARKS PL,10009,Chinese
41676211,TURKISH EXPRESS,BROOKLYN,AVENUE H,11230,Turkish
50075964,COCO PAZZO TRATTORIA,MANHATTAN,PRINCE ST,10012,Italian
40375376,AGRA RESTAURANT,MANHATTAN,LEXINGTON AVENUE,10065,Indian
41406532,BAKEWAY,QUEENS,30 AVENUE,11102,Bakery
50072862,HIDE CHAN RAMEN,MANHATTAN,E 52ND ST,10022,Japanese
40578388,GIRALDA BAKERY,BRONX,EAST  163 STREET,10459,Bakery
40395597,ELMHURST FAMOUS PIZZA,QUEENS,BROADWAY,11373,Pizza
40367829,MCDONALD'S,QUEENS,101 AVENUE,11416,Hamburgers
41470093,BLUTOS PUB,QUEENS,162 STREET,11358,American
40709458,PAN FINO,QUEENS,NORTHERN BOULEVARD,11372,Bakery
41149653,O'BRIENS,MANHATTAN,WEST   46 STREET,10036,Irish
50067731,FRESH TORTILLAS,MANHATTAN,W 207TH ST,10034,Mexican
50055382,ANGELICA'S CAFE,BROOKLYN,CHURCH AVE,11218,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50087195,JUST TASTE IT,QUEENS,BEACH 20TH ST,11691,Soul Food
41128211,HARD ROCK CAFE,MANHATTAN,BROADWAY,10036,American
50003492,UNIQUE BAKERY,BROOKLYN,FORT HAMILTON PKWY,11219,Chinese
41310522,BLACKBIRD'S,QUEENS,30 AVENUE,11103,American
50017981,PHO THANH HOAI 1,MANHATTAN,MULBERRY ST,10013,Vietnamese/Cambodian/Malaysia
41598833,LLOYD & JAY'S KOSHER DELI,BROOKLYN,AVENUE U,11229,Jewish/Kosher
41253818,RUBY TUESDAY,MANHATTAN,TIMES SQUARE TOWER,10036,American
50037751,TEXAS CHICKEN & BURGERS,BRONX,CROTONA PKWY,10460,American
50053253,GUSTOSO RESTAURANT,BROOKLYN,FULTON ST,11208,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50041201,NINE THAI,QUEENS,QUEENS BLVD,11375,Thai
50050754,SUBWAY,QUEENS,FRESH POND RD,11379,Sandwiches
41490282,LE PARISIEN,MANHATTAN,EAST   33 STREET,10016,French
41671873,GRK FRESH GREEK,MANHATTAN,FULTON STREET,10038,Greek
50047967,FILAGA,MANHATTAN,9TH AVE,10011,Pizza/Italian
50056325,GORDO'S CANTINA,QUEENS,QUEENS PLZ N,11101,Mexican
40986189,LIEBMAN'S DELI,BRONX,WEST  235 STREET,10463,Jewish/Kosher
50008025,THE ONE,QUEENS,NORTHERN BLVD,11354,American
50075836,DOMINO'S,STATEN ISLAND,VICTORY BLVD,10314,Pizza
41550532,SUNY MARITIME UNIVERSITY (S AND E CAFE),BRONX,PENNYFIELD AVENUE,10465,Caf̩/Coffee/Tea
40721083,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,MANHATTAN,WEST  125 STREET,10027,Caribbean
40837042,MALECON RESTAURANT,BRONX,BROADWAY,,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41388569,GINGERS (DOUBLE TREE HOTEL),MANHATTAN,BROADWAY,10036,American
50051156,BROOKLYN BARGE BAR,BROOKLYN,WEST ST,,American
50044460,MOROCHO BAKERY,QUEENS,ROOSEVELT AVE,11368,Bakery
40839257,STAND #326,BROOKLYN,SURF AVENUE,11224,American
50011799,SHOGUN SUSHI,BROOKLYN,11TH AVE,11219,Japanese
41450097,NU HOTEL,BROOKLYN,SMITH STREET,11201,American
41487281,GOLDEN TERRACE BANQUET HALL,QUEENS,ATLANTIC AVENUE,11418,Indian
40879743,NEGRIL,MANHATTAN,WEST    3 STREET,10012,Caribbean
50059086,SPYGLASS,MANHATTAN,W 38TH ST,10018,American
50054766,MANNY'S RESTAURANT AND LOUNGE,MANHATTAN,BROADWAY,10031,Spanish
50043740,SEA THAI,BROOKLYN,N 6TH ST,11249,Thai
41210127,STONE STREET TAVERN (@ 52 STONE ST),MANHATTAN,PEARL STREET,10004,American
41121595,CARVEL ICE CREAM,BRONX,BROADWAY,10463,"Ice Cream, Gelato, Yogurt, Ices"
41635504,EL CAPRI RESTAURANT,MANHATTAN,ST NICHOLAS AVENUE,10033,Spanish
41400748,BAILEY'S CORNER PUB,MANHATTAN,YORK AVENUE,10028,Irish
50070536,COCU ROTISSERIE,MANHATTAN,CARMINE ST,10014,French
50061558,CHEZ LUCIEN,MANHATTAN,LENOX AVE,10027,French
50014322,CHIPOTLE MEXICAN GRILL,BROOKLYN,86TH ST,11209,Mexican
41707158,YOGURT CITY,STATEN ISLAND,ARTHUR KILL ROAD,10308,"Ice Cream, Gelato, Yogurt, Ices"
50048222,CARIBBEAN FIESTA,MANHATTAN,MADISON AVE,10029,Caribbean
40625667,TAQUERIA RESTAURANTE MI BARRIO,BROOKLYN,14 AVENUE,11218,Mexican
50004333,SABI SUSHI,MANHATTAN,W 58TH ST,10019,Japanese
41067225,ELEGANTE RESTAURANT,QUEENS,ROCKAWAY BEACH BOULEVARD,11693,Pizza/Italian
50084567,GRAND SICHUAN EASTERN,MANHATTAN,8TH AVE,10011,Chinese
50010969,STARBUCKS,MANHATTAN,AVE OF THE AMER,10013,Caf̩/Coffee/Tea
50056915,SHORTY'S,MANHATTAN,PEARL ST,10004,American
40363945,DOMINO'S,MANHATTAN,WEST   72 STREET,10023,Pizza
50047328,KORYODANG BAKERY & CAFE,QUEENS,UNION ST,11354,Bakery
50073806,MAMBI STEAKHOUSE,MANHATTAN,BROADWAY,10033,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41148780,DOMINO'S,BROOKLYN,NOSTRAND AVENUE,11229,Pizza
41372224,DIWINE,QUEENS,31 AVENUE,11103,American
50074341,AUGUSTINE,MANHATTAN,BEEKMAN ST,10038,Italian
41471226,MISSION DOLORES,BROOKLYN,4 AVENUE,11215,American
50079184,YUMMY 88,BROOKLYN,WILSON AVE,11237,Chinese
40948362,FRANCHIA,MANHATTAN,PARK AVENUE,10016,Asian
50045593,TAUROS BAR AND RESTAURANT,QUEENS,JAMAICA AVE,11418,Mexican
50084092,DOSA DELIGHT,QUEENS,73RD ST,11372,Indian
41473120,PASTICCERIA ROCCO,MANHATTAN,BLEECKER STREET,10014,Bakery
50067765,SMILE TO GO,BROOKLYN,WATER ST,11201,Caf̩/Coffee/Tea
40386303,PIZZA PLUS,BROOKLYN,SEVENTH AVENUE,11215,Pizza
50011059,PARDON MY FRENCH,MANHATTAN,AVENUE B,10009,French
41715661,TABOO,MANHATTAN,8 AVENUE,10001,American
50001256,HAN DYNASTY,MANHATTAN,3RD AVE,10003,Chinese
50074933,NYC HEALTH BAR,MANHATTAN,2ND AVE,10021,"Juice, Smoothies, Fruit Salads"
41560794,JIMBO'S HAMBURGER,BRONX,EAST TREMONT AVENUE,10457,American
50057415,KENNEDY CHICKEN,QUEENS,243RD ST,11422,Chicken
50000522,JUST SALAD,MANHATTAN,THIRD AVE,10028,Salads
50035136,IC BROOKLYN CAFE,BROOKLYN,WILSON AVE,11237,Caf̩/Coffee/Tea
50054409,KENNEDY FRIED CHICKEN,BRONX,E TREMONT AVE,10457,Chicken
50003337,SEASONED VEGAN,MANHATTAN,ST. NICHOLAS AVENUE,10026,Vegetarian
41532134,ISTANBUL CAFE OF WHITE PLAINS,BRONX,WHITE PLAINS ROAD,10462,Caf̩/Coffee/Tea
50000738,D'ANNA'S DELI & PIZZERIA,QUEENS,CROCHERON AVE,11358,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50049169,BAGEL MILL,MANHATTAN,1ST AVE,10128,Bagels/Pretzels
50000496,POTJANEE,MANHATTAN,CARMINE ST,10014,Thai
41704021,PEARL INDIAN RESTAURANT,BROOKLYN,FRANKLIN AVENUE,11238,Indian
50045596,NEW CHINA,BRONX,MOSHOLU AVE,10471,Chinese
50044225,DISTRICT SAIGON,QUEENS,BROADWAY,11103,Asian
50018936,ZOU'S RESTAURANT BUFFET,BROOKLYN,UTICA AVE,11213,Chinese
41160076,JADIS RESTAURANT,MANHATTAN,RIVINGTON STREET,10002,French
50012031,CASCABEL TAQUERIA,MANHATTAN,2ND AVE,10028,Mexican
41722933,NO. 1 CHINESE RESTAURANT,BROOKLYN,BEDFORD AVENUE,11205,Chinese
41628421,KFC,MANHATTAN,3 AVENUE,10029,American
50078345,URBAN BACKYARD,MANHATTAN,MULBERRY ST,10012,Caf̩/Coffee/Tea
50090806,,MANHATTAN,AMSTERDAM AVE,10024,Other
50058708,WAH YUNG,BROOKLYN,ROCKAWAY AVE,11212,Chinese
50007909,CLOVER CLUB,BROOKLYN,SMITH ST,11201,American
41288582,XOCHIMILCO FAMILY REST,BRONX,MELROSE AVENUE,10455,Mexican
41698598,LULU JUICY FRUIT,BRONX,SOUTHERN BOULEVARD,10455,Sandwiches/Salads/Mixed Buffet
41217775,S. WAN CAFE,MANHATTAN,ELDRIDGE STREET,10002,Chinese
41387458,THE FLYING PUCK,MANHATTAN,7 AVENUE,10001,American
50051408,CUCUMBER SUSHI & SALAD BAR,STATEN ISLAND,AMBOY RD,10309,Japanese
41449878,CHRIS CARIBBEAN & AMERICAN RESTAURANT,BROOKLYN,NOSTRAND AVENUE,11216,Caribbean
50050373,MARGARITA ISLAND,BROOKLYN,BOWERY ST,11224,"Bottled beverages, including water, sodas, juices, etc."
50058382,ONE UP BISTRO,MANHATTAN,MADISON AVE,10029,Delicatessen
50016926,DELICE & SARRASIN,MANHATTAN,CHRISTOPHER ST,10014,French
50049744,RESTAURANT ANTOJITOS,QUEENS,JAMAICA AVE,11421,Spanish
50057872,POKE CHAN,MANHATTAN,5TH AVE,10016,Asian
50044949,BURGER KING,MANHATTAN,BROADWAY,10007,American
41658448,LULO RESTAURANT BRONX,BRONX,GRAND CONCOURSE,10457,Spanish
40367005,DA VINCI PIZZA,BROOKLYN,18 AVENUE,11204,Pizza/Italian
50001701,CHINA XIANG,MANHATTAN,W 42ND ST,10036,Asian
50057332,ANTICA,MANHATTAN,CANAL ST,10013,American
41004293,FORT WASHINGTON BAKERY AND DELI,MANHATTAN,WEST  181 STREET,10033,Delicatessen
50017922,SANTINA,MANHATTAN,WASHINGTON ST,10014,Armenian
50064262,MONT BLANC 52,MANHATTAN,W 52ND ST,10019,Other
41172672,WENG'S PALACE,MANHATTAN,WEST   40 STREET,10018,Chinese
41429004,ALTUS CAFE,MANHATTAN,BROADWAY,10033,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50011998,MICHAEL'S MEATBALLS & MARTINIS,STATEN ISLAND,HYLAN BLVD,10305,Italian
50068815,EL MISMO RINCON LATINO RESTAURANT,QUEENS,103RD ST,11368,Spanish
40835821,TEMPLE CANTEEN,QUEENS,BOWNE STREET,11355,Indian
50058137,WENDY'S,QUEENS,WHITESTONE EXPY,11354,Hamburgers
50039808,SUBWAY,BROOKLYN,FORT HAMILTON PKWY,11219,Sandwiches/Salads/Mixed Buffet
41702880,RAKU IT'S JAPANESE II,MANHATTAN,WEST   76 STREET,10023,Japanese
40911185,PAESANO'S PIZZA,STATEN ISLAND,BRADLEY AVENUE,10314,Pizza
50001202,CRESCENT GRILL,QUEENS,CRESCENT ST,11101,American
41206556,SEA LEVEL CAFE,MANHATTAN,EAST   43 STREET,10017,American
50062945,MILK AND CREAM BAR,MANHATTAN,MOTT ST,10013,American
50048097,MEE'S NOODLE,MANHATTAN,2ND AVE,10022,Chinese
50001069,UMA'S,QUEENS,ROCKAWAY BEACH BLVD,11693,Russian
41695128,COFFEE & CRUMBS,MANHATTAN,WEST 38TH STREET,10018,American
50075248,PLANTSHED,MANHATTAN,COLUMBUS AVE,10024,Caf̩/Coffee/Tea
40951329,TAKAHACHI TRIBECA,MANHATTAN,DUANE STREET,10013,Japanese
41492701,FIVE GUYS FAMOUS BURGERS AND FRIES,MANHATTAN,WEST   48 STREET,10036,Hamburgers
41478031,GUY & GALLARD,MANHATTAN,WEST   40 STREET,10018,American
50019055,C & B,MANHATTAN,E 7TH ST,10009,Caf̩/Coffee/Tea
40964100,EL REY DE LOS TACOS,QUEENS,43 AVENUE,11377,Mexican
41684955,DU JOUR BAKERY,BROOKLYN,5 AVENUE,11215,Bakery
50015448,BUDDY BUDDY INC,QUEENS,40TH RD,11354,Chinese
50036199,NOMO SOHO,MANHATTAN,CROSBY ST,10013,American
50000964,AP CAFE,BROOKLYN,TROUTMAN STREET,11237,Caf̩/Coffee/Tea
50074538,LA ABUNDANCIA,QUEENS,BROADWAY,11377,Spanish
41701806,SONRIE A LA FAMILIA,QUEENS,84 STREET,11370,Other
50035987,BEIJING DUMPLING,QUEENS,SUTPHIN BLVD,11435,Chinese
50062982,SAKANA SUSHI & ASIAN BISTRO,BROOKLYN,5TH AVE,11209,Japanese
41529889,SUMMER'S LUNCHEONETTE/BUTTERFUNK,BROOKLYN,GREENWOOD AVENUE,11218,Sandwiches/Salads/Mixed Buffet
41244032,ESTRELLITA POBLANA # 1,BRONX,WESTCHESTER AVENUE,,Mexican
50079948,CHEN'S GARDEN RESTAURANT,STATEN ISLAND,ARTHUR KILL RD,10312,Chinese
41344229,GRACE PIZZA,QUEENS,MYRTLE AVENUE,11385,Pizza/Italian
41101900,STARBUCKS,MANHATTAN,6 AVENUE,10001,Caf̩/Coffee/Tea
50010010,ANAIAH RESTAURANT,BROOKLYN,MYRTLE AVE,11205,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50085608,AMORINO,MANHATTAN,AMSTERDAM AVE,10024,Caf̩/Coffee/Tea
50042943,LIC CORNER CAFE,QUEENS,45TH RD,11101,Caf̩/Coffee/Tea
50069585,PARIS BAGUETTE,MANHATTAN,CANAL ST,10013,Bakery
50061449,TANDIR KEBAB,BROOKLYN,DITMAS AVE,11218,Eastern European
50016021,RED APPLE,STATEN ISLAND,HYLAN BLVD,10305,Japanese
41629236,PIM POLLO,QUEENS,JUNCTION BOULEVARD,11369,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
41019083,PEPPINO'S,BROOKLYN,3 AVENUE,11209,Pizza
41391353,AMSTERDAM ALE HOUSE,MANHATTAN,AMSTERDAM AVENUE,10024,American
41322129,NGI,MANHATTAN,WEST 21 STREET,10010,Vegetarian
41610260,FIRST STOP DELI,BROOKLYN,AVENUE M,11230,Delicatessen
50014653,Le Bernardin Priv̩/Wine Bar,MANHATTAN,W 51ST ST,10019,French
50045296,ORGANIC FOOD NATURAL JUICES AND COFFEE SHOP II CORP,QUEENS,ROOSEVELT AVE,11372,Spanish
50038254,WATERSIDE CAFE,MANHATTAN,WATERSIDE PLZ,10010,American
50064086,Little Italy,MANHATTAN,VARICK ST,10014,Italian
40821987,MILANES SPANISH RESTAURANT,MANHATTAN,WEST   25 STREET,10001,Spanish
41349911,CAFE COLONIAL RESTAURANT & GRILL,BRONX,WHITE PLAINS ROAD,10462,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50013062,CHICKEN RANCH,MANHATTAN,AUDUBON AVE,10033,Chicken
50056797,718 LOUNGE & TAPAS,BRONX,E 180TH ST,10457,American
41692932,GOURMET 45,MANHATTAN,3 AVENUE,10017,Delicatessen
50066665,REYES TRAVEL JUICE BAR,BROOKLYN,NEWKIRK AVE,11226,"Juice, Smoothies, Fruit Salads"
50039052,CHELSEA BAGEL,MANHATTAN,2ND AVE,10017,Bagels/Pretzels
50003545,THE WAYFARER,MANHATTAN,W 57TH ST,10019,Seafood
50038108,NO. 142 BAR,MANHATTAN,SULLIVAN ST,10012,American
50072002,EPSTEIN'S BAR,MANHATTAN,STANTON ST,10002,American
40932933,RAMBLING HOUSE,BRONX,KATONAH AVE,10470,Irish
40423705,ZARO'S BAKERY,MANHATTAN,EAST   42 STREET,10017,American
40640782,BAKE RIDGE BAGEL,BROOKLYN,3 AVENUE,,Bagels/Pretzels
41245488,FU SING RESTAURANT,BROOKLYN,RALPH AVENUE,11236,Chinese
41686285,EAGLE CITY TEX MEX CHINESE FOOD,BROOKLYN,FULTON STREET,11238,Chinese
41718215,YAKITORI TOTTO,MANHATTAN,WEST   55 STREET,10019,Japanese
41640145,BAREBURGER,MANHATTAN,1 AVENUE,10021,Hamburgers
50042781,MATCHABAR,MANHATTAN,W 15TH ST,10011,Caf̩/Coffee/Tea
50072968,NEW KAM LAI,MANHATTAN,AMSTERDAM AVE,10025,Chinese
50073141,NEW CHINA,QUEENS,METROPOLITAN AVE,11379,Tex-Mex
41313271,GOLDEN PUNJAB INDIAN RESTAURANT,QUEENS,101 AVENUE,11419,Indian
50002464,SUBWAY,MANHATTAN,GRAND STREET,10002,Sandwiches/Salads/Mixed Buffet
41668452,SBARRO,MANHATTAN,WEST   33 STREET,10001,Pizza/Italian
50065377,DEJA VU,QUEENS,28TH AVE,11103,Mediterranean
41600704,RED MIST,BROOKLYN,CONEY ISLAND AVENUE,11218,Middle Eastern
50019120,NEW TOPAZ,MANHATTAN,W 56TH ST,10019,Thai
50050253,JONES DAY CAFE & COFFEE BAR,MANHATTAN,VESEY ST,10281,American
41105041,YU KING BAKERY,BROOKLYN,86 STREET,11214,Chinese
41370158,LUV-N-OVEN PIZZERIA,BROOKLYN,DEKALB AVENUE,11201,Pizza/Italian
41592595,CAFE REGULAR,BROOKLYN,BERKELEY PLACE,11217,Caf̩/Coffee/Tea
41461985,MATSU SUSHI,QUEENS,30 AVENUE,11103,Japanese
50002135,HALAL FRIED CHICKEN & PIZZA,BROOKLYN,PENNSYLVANIA AVE,11207,Chicken
41144262,BURGER KING,BROOKLYN,14 AVENUE,11219,Hamburgers
50018753,BOEUF & BUN,BROOKLYN,KINGSTON AVE,11213,Jewish/Kosher
41231500,STARBUCKS,QUEENS,COOPER AVENUE,11385,Caf̩/Coffee/Tea
50063995,NEW  STAR CHINESE RESTAURANT,BROOKLYN,AVENUE X,11235,Chinese
41704649,POMODORO,MANHATTAN,9 AVENUE,10018,Italian
50016877,ASIAN KITCHEN,QUEENS,GRAND AVE,11373,Chinese
50045458,ROUND 2 CAFE,BROOKLYN,UTICA AVE,11203,Caribbean
40799593,SING SING KARAOKE,MANHATTAN,AVENUE A,10009,American
50062377,LITTLE ALLEY,MANHATTAN,3RD AVE,10016,Chinese
40814430,BAD BOYS PIZZA,BROOKLYN,86 STREET,11214,Pizza
41281381,RED BOWL CHINESE RESTAURANT,BROOKLYN,BEDFORD AVENUE,11249,Chinese
40365789,PATSY'S ITALIAN RESTAURANT,MANHATTAN,WEST   56 STREET,10019,Italian
50065723,PANTRY MARKET EATERY,QUEENS,JACKSON AVE,11101,Sandwiches/Salads/Mixed Buffet
40372631,YANKEE JZ PIZZA,BRONX,WESTCHESTER AVENUE,10472,Pizza
50012625,CROWN FRIED CHICKEN,STATEN ISLAND,RICHMOND TER,10302,Chicken
41585567,PAPPARDELLA,MANHATTAN,COLUMBUS AVENUE,10023,Italian
50009996,BE JUICE,MANHATTAN,UNIVERSITY PL,10003,"Juice, Smoothies, Fruit Salads"
40512520,CHELSEA RISTORANTE,MANHATTAN,8 AVENUE,10011,Italian
50064478,JOE & THE JUICE,MANHATTAN,PRINCE ST,10012,Caf̩/Coffee/Tea
50045928,ESSEN,MANHATTAN,AVE OF AMERICAS,10010,Delicatessen
41678997,CHIPOTLE MEXICAN GRILL,MANHATTAN,GREENWICH STREET,10007,Tex-Mex
50046888,HONG KONG HOUSE,QUEENS,STEINWAY ST,11105,Chinese
41705979,NEPALESE INDIAN RESTAURANT,QUEENS,SENECA AVENUE,11385,Indian
40394207,PASCALOU,MANHATTAN,MADISON AVENUE,10128,French
41316785,RALPH'S FAMOUS ITALIAN ICES,QUEENS,CLINTONVILLE STREET,11357,"Ice Cream, Gelato, Yogurt, Ices"
41425365,THE WING BAR,BROOKLYN,SMITH STREET,11231,American
50005983,SUSHI SEKI,MANHATTAN,W 23RD ST,10011,Japanese
50066795,JII PIZZA,BROOKLYN,13TH AVE,11219,Jewish/Kosher
41228810,SEVEN BILLIARDS,QUEENS,150 PLACE,11354,"Bottled beverages, including water, sodas, juices, etc."
50007305,MANDELA RESTAURANT,BROOKLYN,TROY AVE,11213,Caribbean
40799384,LA PALAPA,MANHATTAN,ST MARKS PLACE,10003,Mexican
50019276,OH BAGELS CAFE,QUEENS,UNION ST,11354,Delicatessen
50052889,10 BELOW ICE CREAM,MANHATTAN,ALLEN ST,10002,"Ice Cream, Gelato, Yogurt, Ices"
41201205,FAMOUS AMADEUS PIZZA,MANHATTAN,8 AVENUE,10001,Pizza
41655458,BCD TOFU HOUSE,QUEENS,NORTHERN BOULEVARD,11361,Korean
50009228,STOUT NYC,MANHATTAN,JOHN ST,10038,American
41218581,V J  HOT BAGELS,BROOKLYN,ELM AVENUE,11230,Delicatessen
50055515,THE BEERKEEPER,QUEENS,WOODSIDE AVE,11377,Irish
50070472,MENKUI TEI,MANHATTAN,W 56TH ST,10019,Japanese
40580547,KNAPP ST PIZZA,BROOKLYN,KNAPP STREET,11229,Pizza/Italian
50008064,J & LEE'S DELI,BRONX,E 188TH ST,10458,Delicatessen
